[0] N(41) HP(135) PP(168) HA(175) HM(186) PM(195) PA(243)
[1927] N(863) HP(3702) HA(4645) HM(4772) PM(5814) PP(6101) PA(6682)
[1928] N(764) HP(3206) HA(4058) HM(4157) PM(4943) PP(5552) PA(6364)
[1929] N(609) HP(2537) HA(3164) HM(3257) PM(4232) PA(4328) PP(4573)
[1930] N(47) HP(163) PM(198) HA(201) HM(207) PP(209) PA(231)
[1931] N(536) HP(2214) HA(2752) HM(2874) PM(3409) PP(3921) PA(4113)
[1932] N(829) HP(3485) HA(4399) HM(4556) PM(5587) PP(6097) PA(6353)
[1933] N(149) HP(554) HA(709) HM(719) PA(749) PM(774) PP(916)
[1934] N(224) HP(848) HA(1099) HM(1124) PM(1174) PP(1366) PA(1524)
[1935] N(882) HP(3788) HA(4675) HM(4887) PM(6165) PP(6833) PA(7486)
[1936] N(993) HP(4266) HA(5340) HM(5499) PP(7047) PM(7946) PA(8827)
[1937] N(70) HP(237) HA(307) PP(323) HM(323) PA(396) PM(412)
[1938] N(773) HP(3317) HA(4052) HM(4236) PM(4699) PP(5312) PA(6383)
[1939] N(108) HP(397) HA(508) HM(512) PM(531) PP(584) PA(652)
[1940] N(657) HP(2745) HA(3414) HM(3564) PM(4172) PP(4749) PA(5132)
[1941] N(660) HP(2779) HA(3429) HM(3523) PM(4350) PP(4448) PA(4766)
[1942] N(30) HP(93) PM(101) PP(112) HA(130) HM(133) PA(146)
[1943] N(948) HP(4133) HA(5065) HM(5249) PM(6303) PP(7014) PA(7702)
[1944] N(183) HP(674) HA(871) HM(911) PP(1051) PM(1089) PA(1358)
[1945] N(651) HP(2739) HA(3397) HM(3529) PM(3898) PA(5108) PP(5294)
[1946] N(135) HP(496) HA(634) HM(662) PM(702) PA(733) PP(853)
[1947] N(379) HP(1507) HA(1888) HM(1964) PP(2291) PM(2311) PA(2945)
[1948] N(601) HP(1201) HA(2217) HM(2400) PM(3715) PA(4391) PP(182101)
[1949] N(378) HP(1524) HA(1933) HM(1980) PM(2168) PA(2665) PP(2857)
[1950] N(627) HP(2627) HA(3291) HM(3408) PM(3939) PP(4737) PA(4923)
[1951] N(203) HP(774) HA(976) HM(1002) PP(1173) PA(1294) PM(1313)
[1952] N(344) HP(1358) HA(1714) HM(1771) PM(2015) PA(2108) PP(2200)
[1953] N(840) HP(3596) HA(4422) HM(4593) PP(5272) PM(5703) PA(7172)
[1954] N(314) HP(1238) HA(1574) HM(1613) PM(1929) PP(2006) PA(2053)
[1955] N(67) HP(225) HA(299) HM(306) PM(325) PA(342) PP(361)
[1956] N(887) HP(3832) HA(4739) HM(4829) PM(6200) PP(6527) PA(7600)
[1957] N(716) HP(1431) HA(2626) HM(2861) PM(4727) PA(5748) PP(258116)
[1958] N(598) HP(2490) HA(3067) HM(3198) PP(4257) PM(4357) PA(4560)
[1959] N(409) HP(1651) HA(2069) HM(2145) PP(2299) PM(2648) PA(2962)
[1960] N(753) HP(3239) HA(3955) HM(4107) PM(5002) PP(5263) PA(6956)
[1961] N(214) HP(809) HA(1019) HM(1072) PM(1345) PP(1372) PA(1392)
[1962] N(49) HP(167) HA(205) PP(215) HM(215) PM(219) PA(274)
[1963] N(732) HP(3103) HA(3858) HM(4008) PM(4665) PP(4711) PA(5965)
[1964] N(68) HP(135) HA(245) HM(269) PM(299) PA(372) PP(2480)
[1965] N(496) HP(2025) HA(2539) HM(2621) PP(3276) PM(3356) PA(3425)
[1966] N(551) HP(2288) HA(2865) HM(2973) PP(3398) PA(3859) PM(4077)
[1967] N(982) HP(4273) HA(5300) HM(5463) PP(6382) PM(6982) PA(7674)
[1968] N(775) HP(3308) HA(4064) HM(4209) PP(4795) PM(4905) PA(6093)
[1969] N(261) HP(1018) HA(1263) HM(1304) PM(1650) PP(1718) PA(1727)
[1970] N(506) HP(2081) HA(2565) HM(2696) PM(3064) PA(3504) PP(3541)
[1971] N(38) HP(121) PM(142) HA(158) PA(163) HM(167) PP(177)
[1972] N(218) HP(850) HA(1058) HM(1098) PP(1265) PM(1301) PA(1422)
[1973] N(54) HP(107) HA(195) HM(213) PM(241) PA(263) PP(1591)
[1974] N(784) HP(3324) HA(4105) HM(4323) PM(5189) PP(5787) PA(6689)
[1975] N(771) HP(3287) HA(4049) HM(4177) PP(5042) PA(5760) PM(6166)
[1976] N(209) HP(817) HA(1030) HM(1052) PM(1081) PP(1124) PA(1263)
[1977] N(151) HP(563) HA(714) HM(729) PM(791) PP(880) PA(911)
[1978] N(389) HP(777) HA(1431) HM(1553) PM(2401) PA(2555) PP(76631)
[1979] N(957) HP(4179) HA(5137) HM(5294) PP(6485) PM(6877) PA(8847)
[1980] N(843) HP(3643) HA(4429) HM(4624) PM(5603) PP(5815) PA(7776)
[1981] N(88) HP(312) HA(399) HM(410) PP(437) PM(437) PA(523)
[1982] N(959) HP(4173) HA(5129) HM(5298) PP(7386) PA(7596) PM(7684)
[1983] N(570) HP(2363) HA(2953) HM(3029) PP(3609) PM(3645) PA(4130)
[1984] N(513) HP(2105) HA(2637) HM(2735) PM(3026) PP(3261) PA(4216)
[1985] N(527) HP(2135) HA(2724) HM(2827) PP(3079) PM(3172) PA(3606)
[1986] N(318) HP(635) HA(1157) HM(1269) PM(1848) PA(1948) PP(51355)
[1987] N(626) HP(2596) HA(3267) HM(3361) PM(4353) PP(4791) PA(4804)
[1988] N(57) HP(202) PP(233) HA(248) HM(255) PA(266) PM(327)
[1989] N(154) HP(577) HA(745) HM(752) PA(894) PP(922) PM(942)
[1990] N(471) HP(941) HA(1730) HM(1881) PM(2714) PA(3244) PP(112096)
[1991] N(727) HP(1453) HA(2667) HM(2905) PM(4818) PA(5658) PP(266080)
[1992] N(375) HP(1515) HA(1884) HM(1964) PM(2252) PP(2406) PA(2588)
[1993] N(218) HP(830) HA(1068) HM(1092) PM(1253) PP(1311) PA(1402)
[1994] N(320) HP(1287) HA(1591) HM(1663) PM(1808) PA(2106) PP(2131)
[1995] N(833) HP(3567) HA(4448) HM(4582) PM(5510) PP(6878) PA(6961)
[1996] N(61) HP(208) HA(276) HM(289) PM(293) PA(332) PP(340)
[1997] N(196) HP(749) HA(954) HM(985) PM(1125) PP(1275) PA(1296)
[1998] N(975) HP(4159) HA(5281) HM(5406) PM(6775) PP(7286) PA(7684)
[1999] N(203) HP(767) PP(977) HA(984) HM(1024) PM(1059) PA(1327)
